Room Index,Monster ID,AegisName,Name,Level,Arena Group,MVP Mode,Generic Arena Playable,Mob Skill DB,Validation Source,Validation Type,Canonical Selection
151,2111,E_B_HARWORD,Whitesmith Howard,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
152,3804,ILL_TURTLE_GENERAL,Ominous Turtle General,165,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
153,3254,T_W_O,T_W_O,165,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
154,20648,EP17_2_PITAYA_BOSS,Boss Meow,168,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
155,20273,ILL_TAO_GUNKA,Ancient Tao Gunka,169,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
156,20277,ILL_WOOTAN_DEFENDER,Ancient Wootan Defender,169,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
157,3074,TIMEHOLDER,Time Holder,170,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
158,20381,EP17_1_R4885_BESTIA,R48-85-Bestia,174,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
159,3097,MM_MOROCC_ADT,Despair God Morroc,175,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
160,21395,ILL_MAYA,Silent Maya,175,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
161,21314,EP18_MD_SCHULANG,Schulang,185,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
162,21316,EP18_MD_SCHULANG_R,Schulang,185,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
163,20621,MD_REDPEPPER_H,Senior Red Pepper,185,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
164,21317,EP18_MD_DEMI_FREYJA_R,Twisted God Freyja,185,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
165,3241,V_B_FLAMEL,Genetic Flamel,186,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
166,3245,V_B_ALPHOCCIO,Minstrel Alphoccio,186,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
167,3246,V_B_TRENTINI,Wanderer Trentini,186,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
168,3221,V_B_MAGALETA,Arch Bishop Margaretha,187,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
169,3223,V_B_HARWORD,Mechanic Howard,187,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
170,3224,V_B_KATRINN,Warlock Kathryne,187,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
171,20419,MUSPELLSKOLL_H,Rigid Muspellskoll,188,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
172,3240,V_B_RANDEL,Royal Guard Randel,188,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
173,3244,V_B_GERTIE,Shadow Chaser Gertie,188,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
174,3242,V_B_CELIA,Sorcerer Celia,188,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
175,3243,V_B_CHEN,Sura Chen,188,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
176,3220,V_B_EREMES,Guillotine Cross Eremes,189,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
177,3222,V_B_SHECIL,Ranger Cecil,189,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
178,3225,V_B_SEYREN,Rune Knight Seyren,189,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
179,20422,DARK_LORD_H,Corrupted Dark Lord,194,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
180,20421,BRINARANEA_H,Corrupted Spider Queen,195,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
181,20668,MD_GRAN_PAPILIA,Gran Papilia,195,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
182,20601,JUNGOLIANT,Jewel Ungoliant,197,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
183,20811,ILL_KRAKEN,Deep Sea Kraken,204,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
184,20843,ILL_ABYSMAL_WITCH,Deep Sea Witch,205,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
185,21301,EP18_BURNING_FANG,Burning Fang,212,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
186,20934,R001_BESTIA,R001-Bestia,215,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
187,21360,EP18_MD_SCHULANG_L,Schulang,224,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
188,21361,EP18_MD_DEMI_FREYJA_L,Twisted God Freyja,224,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
189,20928,CHIMERA_THEONE,The One,245,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
190,20943,DEATH_WITCH,Death Witch,255,Lv 200+,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
