Monster ID,AegisName,Name,Level,Exclusion Reason,First Enabled Reference
22589,S_DUMMY_SMALL_M10,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:31
22593,S_DUMMY_SMALL_M20,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:30
22597,S_DUMMY_SMALL_M30,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:29
22600,S_DUMMY_SMALL3,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:114
22603,S_DUMMY_SMALL3_M10,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:113
22607,S_DUMMY_SMALL3_M20,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:112
22611,S_DUMMY_SMALL3_M30,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:111
22614,S_DUMMY_SMALL4,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:195
22617,S_DUMMY_SMALL4_M10,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:194
22621,S_DUMMY_SMALL4_M20,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:193
22625,S_DUMMY_SMALL4_M30,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:192
21086,S_DUMMY_100_UNDEAD2,Dummy (Undead Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:52
22637,S_DUMMY2_UNDEAD,Dummy (Undead Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:152
22647,S_DUMMY3_UNDEAD,Dummy (Undead Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:233
22657,S_DUMMY2_UNDEAD2,Dummy (Undead),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:137
22667,S_DUMMY3_UNDEAD2,Dummy (Undead),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:218
21078,S_DUMMY_100_WATER,Dummy (Water Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:53
22649,S_DUMMY2_WATER,Dummy (Water),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:130
22659,S_DUMMY3_WATER,Dummy (Water),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:211
21081,S_DUMMY_100_WIND,Dummy (Wind Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:48
22652,S_DUMMY2_WIND,Dummy (Wind),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:129
22662,S_DUMMY3_WIND,Dummy (Wind),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:210
2410,DUMMY_100,Dummy 100,100,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1791,G_GALION,Galion,100,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3494,IFN_POIRING,Shining Poring,100,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/instances/InfiniteSpace.txt:229
21075,S_DUMMY_100_ANGEL,Training Dummy (Angel),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:73
21069,S_DUMMY_100_ANIMAL,Training Dummy (Brute),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:76
21073,S_DUMMY_100_DEMON,Training Dummy (Demon),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:77
21068,S_DUMMY_100_DRAGON,Training Dummy (Dragon),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:74
21072,S_DUMMY_100_FISH,Training Dummy (Fish),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:79
21070,S_DUMMY_100_HUMAN,Training Dummy (Human),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:78
21071,S_DUMMY_100_INSECT,Training Dummy (Insect),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:80
21066,S_DUMMY_100_LARGE,Training Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:22
21065,S_DUMMY_100_MEDIUM,Training Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:18
21067,S_DUMMY_100_NOTHING,Training Dummy (Neutral),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:72
21074,S_DUMMY_100_PLANT,Training Dummy (Plant),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:75
21064,S_DUMMY_100_SMALL,Training Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:14
21076,S_DUMMY_100_UNDEAD,Training Dummy (Undead),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:71
1487,G_EXECUTIONER,Executioner,101,Exact-stat slave/quest clone of enabled ID 1205 (EXECUTIONER),npc/other/powernpc.txt:199
3425,MIN_CHIMERA,Infinite Chimera,105,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3424,MIN_ECLIPSE,Infinite Eclipse,105,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3421,MIN_TOAD,Infinite Toad,105,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
3422,MIN_VAGABOND_WOLF,Infinite Vagabond Wolf,105,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1486,G_TIRFING,Ogretooth,114,Exact-stat slave/quest clone of enabled ID 1204 (TIRFING),npc/other/powernpc.txt:199
2327,BANGUNGOT_3,Bangungot,115,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/instances/BangungotHospital.txt:842
20347,MD_MIGUEL_G,Miguel G.,115,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1795,BLOODY_KNIGHT_,Bloody Knight,116,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2146,G_S_NYDHOG,Shade of Dragon,117,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1756,G_HYDRO,Hydrolancer,121,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2930,T_SOLACE,Solace,123,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2206,KRAKEN_LEG,Kraken Tentacle,124,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1872,BEELZEBUB_FLY,Hell Fly,127,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1710,G_THA_DESPERO,Despero of Thanatos,129,Exact-stat slave/quest clone of enabled ID 1705 (THA_DESPERO),npc/re/mobs/dungeons/tha_t.txt:142
1712,G_THA_DOLOR,Dolor of Thanatos,129,Exact-stat slave/quest clone of enabled ID 1707 (THA_DOLOR),npc/re/mobs/dungeons/tha_t.txt:120
1711,G_THA_MAERO,Maero of Thanatos,129,Exact-stat slave/quest clone of enabled ID 1706 (THA_MAERO),npc/re/mobs/dungeons/tha_t.txt:131
1709,G_THA_ODIUM,Odium of Thanatos,129,Exact-stat slave/quest clone of enabled ID 1704 (THA_ODIUM),npc/re/mobs/dungeons/tha_t.txt:153
2172,I_G_HORN_SCARABA,Gold One-Horn Scaraba,130,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1485,G_MYSTELTAINN,Mysteltainn,130,Exact-stat slave/quest clone of enabled ID 1203 (MYSTELTAINN),npc/other/powernpc.txt:201
2138,NYDHOG_MEMORY1_1,Nydhoggur Memory,130,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/instances/HazyForest.txt:1003
2139,NYDHOG_MEMORY1_2,Nydhoggur Memory,130,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2140,NYDHOG_MEMORY2_1,Nydhoggur Memory,130,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2141,NYDHOG_MEMORY2_2,Nydhoggur Memory,130,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2142,NYDHOG_MEMORY3_1,Nydhoggur Memory,130,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2143,NYDHOG_MEMORY3_2,Nydhoggur Memory,130,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1763,G_SKEGGIOLD,Skeggiold,131,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1764,G_SKEGGIOLD_,Skeggiold,131,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1922,G_MOROCC_1,Shadow of Morocc,132,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1923,G_MOROCC_2,Shadow of Morocc,132,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1924,G_MOROCC_3,Shadow of Morocc,133,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1899,SWORD_GUARDIAN_,Sword Guardian,133,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2173,I_G_HORN_SCARABA2,Gold Two-Horn Scaraba,134,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1925,G_MOROCC_4,Shadow of Morocc,134,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1835,G_KASA,Kasa,135,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2280,G_RUDO,Rudo,135,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2170,I_G_ANTLER_SCARABA,Gold Antler Scaraba,136,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2277,G_LORA,Warrior Laura,136,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2279,G_SOHEON,Samurai Soheon,137,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2278,G_ELVIRA,Elvira,138,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1834,G_SALAMANDER,Salamander,138,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2333,BUWAYA_WEAK,Weakpoint,138,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/instances/BuwayaCave.txt:257
2171,I_G_RAKE_SCARABA,Gold Rake Scaraba,139,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2335,MA_TREASURE,Bakonawa's Treasure,140,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/instances/BakonawaLake.txt:505
3522,POPE_MD_H_BISHOP,Enraged High Priest,140,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2288,GLD_TREASURE,Treasure Chest,140,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/mobs/dungeons/gld_re.txt:97
2531,VENOM_BUG,Venom Bug,140,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/instances/FacewormsNest.txt:1049
2308,KO_KAGE,Zanzou,140,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
20647,EP17_2_BATH_MERMAID,Elder of Chung-Geum,141,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
1891,G_RANDGRIS_,Valkyrie,141,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2196,MD_G_STROUF,Strouf,145,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2988,XM_ANTONIO,Wicked Vice Plant Manage,149,Utility/event target with less than 500 HP; not a practical private-room combat boss,npc/re/instances/HorrorToyFactory.txt:939
2411,DUMMY_150,Dummy 150,150,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2536,HIDDEN_MOB3,Monster 3,151,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/OsOccupation.txt:269
2537,HIDDEN_MOB4,Monster 4,151,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/WaterGarden.txt:964
2539,HIDDEN_MOB5,Monster 5,151,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/FacewormsNest.txt:850
3038,HIDDEN_MOB7,Monster 7,151,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/HorrorToyFactory.txt:1221
3007,EP14_MORS_DUMMY,Death Soul,158,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/MorseCave.txt:322
2562,GEFFEN_MAGE_12,Dwigh,160,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2563,FEI_KANABIAN,Fay Kanavian,160,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
2922,G_OWL_VISCOUNT,Owl Viscount,168,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
20846,MD_HIDDEN_GROUND01,Plague of Corruption,170,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/VillaofDeception.txt:578
20847,MD_HIDDEN_GROUND02,Plague of Corruption,170,Immune to all normal damage categories in mob_db; not generically fightable,npc/re/instances/VillaofDeception.txt:824
22208,SPIRIT_C_LAND_S,L Polluted Earth Spirit,263,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22232,SPIRIT_C_WATER_S,L Polluted Water Spirit,263,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22212,SPIRIT_C_FLAME_S,L Tainted Flame Spirit,263,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22236,SPIRIT_C_WIND_S,L Tainted Wind Spirit,263,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22209,SPIRIT_C_LAND_M,Polluted Earth Spirit,264,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22233,SPIRIT_C_WATER_M,Polluted Water Spirit,264,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22213,SPIRIT_C_FLAME_M,Tainted Flame Spirit,264,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22237,SPIRIT_C_WIND_M,Tainted Wind Spirit,264,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22210,SPIRIT_C_LAND_L,G Polluted Earth Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22234,SPIRIT_C_WATER_L,G Polluted Water Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22214,SPIRIT_C_FLAME_L,G Tainted Flame Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22238,SPIRIT_C_WIND_L,G Tainted Wind Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22211,SPIRIT_C_LAND_SL,M Polluted Earth Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22235,SPIRIT_C_WATER_SL,M Polluted Water Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22215,SPIRIT_C_FLAME_SL,M Tainted Flame Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
22239,SPIRIT_C_WIND_SL,M Tainted Wind Spirit,265,No confirmed reference in an enabled script imported by npc/re/scripts_main.conf,
