Roster Index,Monster ID,AegisName,Name,Level,HP,Arena Group,Modes.Mvp,IgnoreMelee,IgnoreMagic,IgnoreRanged,IgnoreMisc,Visible Name Occurrences in MVP DB,Before MVP Room,Before MVP Arena,After MVP Room,After MVP Arena,Arena/Room Fightability Adjustment,Notes
169,3223,V_B_HARWORD,Mechanic Howard,187,18000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
170,3224,V_B_KATRINN,Warlock Kathryne,187,10800000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
171,20419,MUSPELLSKOLL_H,Rigid Muspellskoll,188,48530254,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
172,3240,V_B_RANDEL,Royal Guard Randel,188,18000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
173,3244,V_B_GERTIE,Shadow Chaser Gertie,188,14400000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
174,3242,V_B_CELIA,Sorcerer Celia,188,16200000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
175,3243,V_B_CHEN,Sura Chen,188,12600000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
176,3220,V_B_EREMES,Guillotine Cross Eremes,189,12600000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
177,3222,V_B_SHECIL,Ranger Cecil,189,12600000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
178,3225,V_B_SEYREN,Rune Knight Seyren,189,14400000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
179,20422,DARK_LORD_H,Corrupted Dark Lord,194,74476822,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
180,20421,BRINARANEA_H,Corrupted Spider Queen,195,74623473,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
181,20668,MD_GRAN_PAPILIA,Gran Papilia,195,74730723,Lv 150-199,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
182,20601,JUNGOLIANT,Jewel Ungoliant,197,37847096,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
183,20811,ILL_KRAKEN,Deep Sea Kraken,204,81289587,Lv 200+,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
184,20843,ILL_ABYSMAL_WITCH,Deep Sea Witch,205,78368745,Lv 200+,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
185,21301,EP18_BURNING_FANG,Burning Fang,212,98158095,Lv 200+,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
186,20934,R001_BESTIA,R001-Bestia,215,134179630,Lv 200+,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
187,21360,EP18_MD_SCHULANG_L,Schulang,224,2000000000,Lv 200+,true,false,false,false,false,3,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
188,21361,EP18_MD_DEMI_FREYJA_L,Twisted God Freyja,224,2000000000,Lv 200+,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
189,20928,CHIMERA_THEONE,The One,245,275042400,Lv 200+,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
190,20943,DEATH_WITCH,Death Witch,255,398856250,Lv 200+,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
